! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
!
! ALASKA             16-DEC-13                                                  
CD, STATION        ,ICAO , IATA ,SYNOP , LAT   , LONG  ,ELEV  ,M
AK,ADAK NAS        ,PADK , ADK  ,70454 ,51 53N ,176 39W,   4  ,X
AK,AKHIOK          ,PAKH , AKK  ,      ,56 56N ,154 11W,  14  ,X
AK,AMBLER          ,PAFM , AFM  ,      ,67 06N ,157 51W,  88  ,X
AK,ANAKTUVUK PASS  ,PAKP , AKP  ,      ,68 08N ,151 44W, 642  ,X
AK,ANCHORAGE INTL  ,PANC , ANC  ,70273 ,61 10N ,150 01W,  38  ,X
AK,ANCHORAGE/WFO   ,PAFC , AFC  ,      ,61 10N ,150 02W,  48  , 
AK,ANCHORAG/NIKISKI,PAHG , AHG  ,      ,60 44N ,151 21W,  74  , 
AK,ANCHORAGE/LAKE H,PALH , LHD  ,      ,61 11N ,149 58W,  22  ,X
AK,ANCHORAGE/ARTCC ,PZAN , ZAN  ,      ,61 10N ,149 59W,  22  , 
AK,ANCHORAGE/MERRIL,PAMR , MRI  ,      ,61 13N ,149 51W,  41  ,X
AK,ANGOON SEAPLANE ,PAGN ,      ,      ,57 30N ,134 35W,   2  ,X
AK,ANIAK           ,PANI , ANI  ,70232 ,61 35N ,159 32W,  26  ,X
AK,ANNETTE ISLAND  ,PANT , ANN  ,70398 ,55 02N ,131 34W,  36  ,X
AK,ANVIK           ,PANV , ANV  ,      ,62 39N ,160 11W,  99  ,X
AK,ARCTIC VILLAGE  ,PARC , ARC  ,      ,68 07N ,145 35W, 636  ,X
AK,ATQASUK BURNELL ,PATQ , ATK  ,      ,70 28N ,157 26W,  29  ,X
AK,ATKA            ,PAAK , AKA  ,      ,52 13N ,174 12W,  17  ,X
AK,BARROW          ,PABR , BRW  ,70026 ,71 17N ,156 48W,   7  ,X
